环指僵硬,无名指僵硬
特发性窦性心动过速,非阵发性窦性心动过速
非阵发性交接处心动过速,非阵发性房室交界区性心动过速
非阵发性交接区性心动过速,非阵发性房室交界区性心动过速
房性逸搏心律加速,非阵发性房性心动过速
加速的房性自身心律,非阵发性房性心动过速
加速的房性自主心律,非阵发性房性心动过速
加速性房性逸搏心律,非阵发性房性心动过速
Marburg病毒病,非洲出血热
绿猴病,非洲出血热
马堡-埃博拉病毒病,非洲出血热
马堡‐埃博拉病毒病,非洲出血热
Chagas病,非洲锥虫病
chagas巨食管症,非洲锥虫病
查加斯病,非洲锥虫病
非洲昏睡病,非洲锥虫病
非洲睡眠病,非洲锥虫病
刚果锥虫病,非洲锥虫病
美洲锥虫病,非洲锥虫病
南美洲锥虫病,非洲锥虫病
恰加斯病,非洲锥虫病
嗜睡性脑炎,非洲锥虫病
睡眠病,非洲锥虫病
锥虫病,非洲锥虫病
锥形虫症,非洲锥虫病
非洲锥虫病[非洲睡眠病],非洲锥虫病
Non-Syndromic Deafness,非综合征性耳聋
组织嗜碱细胞白血病,肥大细胞白血病
肥大细胞增多症,肥大细胞增生病
色素性荨麻疹,肥大细胞增生病
Marie-Bamberger病,肥大性肺性骨关节病
肥大性肺性骨关节病[Marie-Bamberger病],肥大性肺性骨关节病
Marie-Bamberger综合征,肥大性骨关节病
Marie-Bamberger综合症,肥大性骨关节病
肥大性肺骨关节病,肥大性骨关节病
肺性肥大性骨关节病,肥大性骨关节病
肺性增殖性骨关节病,肥大性骨关节病
继发性肺性骨关节病,肥大性骨关节病
马-班二氏综合征,肥大性骨关节病
马里氏病,肥大性骨关节病
慢性肺性骨关节病,肥大性骨关节病
全身性肥大性骨关节病,肥大性骨关节病
原发性家族性继发性肥大性骨关节病,肥大性骨关节病
增生性脊椎炎,肥大性脊椎炎
德热里纳-索塔病,肥大性间质神经病
肥大性间质神经病[德热里纳-索塔病],肥大性间质神经病
非梗阻性肥厚型心肌病,肥厚性非梗阻性心肌病
非对称性室间隔肥厚,肥厚性心肌病
肥厚梗阻型心肌病,肥厚性心肌病
肥厚梗阻性心肌病,肥厚性心肌病
肥厚心肌病,肥厚性心肌病
肥厚型梗阻性心肌病,肥厚性心肌病
肥厚型心肌病,肥厚性心肌病
肥厚性梗阻型心肌病,肥厚性心肌病
肥厚性梗阻性心肌病,肥厚性心肌病
梗阻性肥厚型心肌病,肥厚性心肌病
梗阻性肥厚性心肌病,肥厚性心肌病
室间隔肥厚,肥厚性心肌病
特发性肥厚性主动脉瓣下狭窄,肥厚性心肌病
心肌肥厚性疾病,肥厚性心肌病
肥胖症,肥胖
脂肪过多,肥胖
脂肪过多症,肥胖
肥胖低通气综合征[Pickwickian综合征],肥胖低通气综合征
Alstrom综合征,肥胖视网膜变性糖尿病综合征
肥胖视网膜变性糖尿病综合征[Alstrom综合征],肥胖视网膜变性糖尿病综合征
Babinski-Frohlich综合征,肥胖性生殖无能综合征
Lenosis-Cleres综合征,肥胖性生殖无能综合征
肥胖性生殖器退化综合征,肥胖性生殖无能综合征
肥胖性生殖无能性营养不良,肥胖性生殖无能综合征
肥胖性生殖无能性营养不良症,肥胖性生殖无能综合征
肥胖性生殖无能综合症,肥胖性生殖无能综合征
脑性肥胖症,肥胖性生殖无能综合征
神经垂体营养不良综合征,肥胖性生殖无能综合征
神经源性性腺低功能综合征,肥胖性生殖无能综合征
肥胖心脏综合征,肥胖性心肌病
Charcot-Marie-Tooth病,腓骨肌萎缩
CMT,腓骨肌萎缩
腓骨肌萎缩症,腓骨肌萎缩
遗传性运动感觉神经病,腓骨肌萎缩
Charcot-Marie-Tooth Disease,腓骨肌萎缩
图思(氏)病,腓骨肌萎缩
夏-马-图三氏病,腓骨肌萎缩
进行性神经性肌萎缩,腓骨肌萎缩
阿米巴肺脓肿,肺阿米巴病
肺阿米巴病[阿米巴肺脓肿],肺阿米巴病
肺部恶性肿瘤,肺癌
原发性支气管肺癌,肺癌
支气管肺癌,肺癌
肺癌继发性皮肤转移,肺癌皮肤转移
肺孢子虫病,肺孢子菌病
肺囊虫病,肺孢子菌病
肺冲击伤,肺爆震伤
肺不张病,肺不张
肺膨胀不全,肺不张
肺陷落,肺不张
肺部感染性疾病,肺部感染
肺钩虫病,肺部钩虫病
肺钩口线虫病,肺部钩虫病
肺十二指肠虫病,肺部钩虫病
Goodpasture病,肺出血肾炎综合征
Goodpasture综合征,肺出血肾炎综合征
持续性咯血伴肾小球肾炎,肺出血肾炎综合征
出血性肺肾综合征,肺出血肾炎综合征
出血性间质性肺炎伴肾小球肾炎,肺出血肾炎综合征
儿童肺出血-肾炎综合征,肺出血肾炎综合征
肺出血伴肾小球肾炎,肺出血肾炎综合征
肺出血-肾炎综合征,肺出血肾炎综合征
肺出血肾炎综合征[Goodpasture综合征],肺出血肾炎综合征
肺出血-肾炎综合症,肺出血肾炎综合征
肺含铁血黄素沉着伴肾小球肾炎,肺出血肾炎综合征
肺紫癜伴肾炎综合征,肺出血肾炎综合征
古德帕斯丘综合征,肺出血肾炎综合征
基膜性肾小球肾炎,肺出血肾炎综合征
抗基膜性肾小球肾炎,肺出血肾炎综合征
抗肾小球基底膜抗体病(AGBM抗体),肺出血肾炎综合征
Goodpasture Syndrome,肺出血肾炎综合征
肺地霉病,肺地丝菌病
肺地霉菌病,肺地丝菌病
肺淀粉样变性病,肺淀粉样变性
肺动脉瓣返流,肺动脉瓣反流
肺动脉瓣闭锁不全,肺动脉瓣关闭不全
先天性迷走左肺动脉,肺动脉吊带
肺动脉吊带[先天性迷走左肺动脉],肺动脉吊带
肺动脉高血压,肺动脉高压
肺动脉高血压症,肺动脉高压
肺动脉高压症,肺动脉高压
肺动脉血压过高,肺动脉高压
Nontuberculous Mycobacterial Lung Disease,肺非结核分枝杆菌病
非结核分枝杆菌肺病,肺非结核分枝杆菌病
肺隔离,肺分离
肺隔离症,肺分离
隔离肺,肺分离
支气管肺隔离症,肺分离
肺弓浆虫病,肺弓形体病
肺弓形虫病,肺弓形体病
肺住血原虫病,肺弓形体病
肺包虫病,肺棘球蚴病
肺包虫囊肿,肺棘球蚴病
肺包虫囊肿病,肺棘球蚴病
肺棘球蚴病[肺包虫病],肺棘球蚴病
肺棘球蚴囊肿,肺棘球蚴病
肺组织胞浆菌病,肺荚膜组织胞浆菌病
肺假淋巴瘤,肺假性淋巴瘤
假淋巴瘤,肺假性淋巴瘤
结节性淋巴组织样增生,肺假性淋巴瘤
结节性淋巴组织增生,肺假性淋巴瘤
肺结核瘤,肺结核球
肺结核球[肺结核瘤],肺结核球
PLCH,肺朗汉斯细胞组织细胞增生症
肺良性淋巴细胞性脉管炎和肉芽肿病,肺良性淋巴细胞血管炎和肉芽肿病
肺部良性肿瘤,肺良性肿瘤
PLAM,肺淋巴管平滑肌瘤病
矾土肺,肺铝土纤维化
肺铁钒土纤维化,肺铝土纤维化
铝尘肺,肺铝土纤维化
铝肺,肺铝土纤维化
肺螨症,肺螨病
肺毛霉菌病,肺毛霉病
肺藻菌病,肺毛霉病
肺囊性纤维病,肺囊性纤维化
肺纤维囊泡症,肺囊性纤维化
Pulmonary Cystic Fibrosis,肺囊性纤维化
肺部念珠菌病,肺念珠菌病
支气管肺念珠菌病,肺念珠菌病
肺疟,肺疟疾病
肺诺卡放线菌病,肺诺卡菌病
肺诺卡氏放线菌病,肺诺卡菌病
肺诺卡氏菌病,肺诺卡菌病
PAP,肺泡蛋白沉着症
Rosen-Castleman-Liebow综合征,肺泡蛋白沉着症
肺泡蛋白沉积,肺泡蛋白沉着症
肺泡蛋白沉积症,肺泡蛋白沉着症
肺泡磷脂沉着症,肺泡蛋白沉着症
Pulmonary Alveolar Proteinosis,肺泡蛋白沉着症
肺泡蛋白沉积(症),肺泡蛋白沉着症
Austrain综合征,肺泡-毛细血管阻滞综合征
肺泡毛细管阻塞综合征,肺泡-毛细血管阻滞综合征
肺泡-毛细血管阻滞综合症,肺泡-毛细血管阻滞综合征
肺泡换气不足综合征,肺泡通气低下综合征
肺泡通气低下综合症,肺泡通气低下综合征
肺胞结石病,肺泡微结石症
肺胞小结石病,肺泡微结石症
肺青霉菌病,肺青霉病
过敏性支气管支气管-肺青霉菌病,肺青霉病
马尼菲青霉病,肺青霉病
肺曲霉病,肺曲霉菌病
肺伴有嗜酸细胞增多肺浸润,肺嗜酸性粒细胞浸润症
嗜酸细胞性肺,肺嗜酸性粒细胞浸润症
嗜酸性粒细胞性肺疾病,肺嗜酸性粒细胞浸润症
PE,肺栓塞
肺动脉栓塞,肺栓塞
肺型炭疽,肺炭疽
电焊工病,肺铁末沉着病
电弧焊工肺,肺铁末沉着病
铁尘肺,肺铁末沉着病
铁末沉着症,肺铁末沉着病
肺血吸虫病,肺型血吸虫病
肺胸膜变形虫病,肺胸膜阿米巴病
PTE,肺血栓栓塞症
PTE,肺血栓栓塞症
肺酿母菌病,肺芽生菌病
吉尔克斯病,肺芽生菌病
支气管芽生菌病,肺芽生菌病
肺炎杆菌肺炎,肺炎杆菌性肺炎
肺炎克雷白杆菌肺炎,肺炎杆菌性肺炎
肺炎克雷白氏杆菌肺炎,肺炎杆菌性肺炎
肺炎克雷伯杆菌肺炎,肺炎杆菌性肺炎
肺炎克雷伯氏杆菌肺炎,肺炎杆菌性肺炎
肺炎链球菌败血病,肺炎链球菌败血症
肺炎链球菌肺炎,肺炎链球菌性肺炎
肺炎球菌肺炎,肺炎链球菌性肺炎
化脓性链球菌肺炎,肺炎链球菌性肺炎
链球菌肺炎,肺炎链球菌性肺炎
链球菌性肺炎,肺炎链球菌性肺炎
肺心病,肺源性心脏病
肺原性心脏病,肺源性心脏病
肺霉菌病,肺真菌感染
肺真菌病,肺真菌感染
继发性肺肿瘤,肺转移性肿瘤
Felty综合征,费尔蒂综合征
费尔蒂综合征[Felty综合征],费尔蒂综合征
费尔蒂综合症,费尔蒂综合征
费耳提氏综合征,费尔蒂综合征
费耳提综合征,费尔蒂综合征
关节炎-粒细胞减少-脾大综合征,费尔蒂综合征
类风湿关节炎伴脾大白细胞减少,费尔蒂综合征
脾肿大性多关节炎,费尔蒂综合征
Felty Syndrome,费尔蒂综合征
Miller-Fisher综合征,费舍综合征
费舍综合征[Miller-Fisher综合征],费舍综合征
痱,痱子
汗疹,痱子
粟粒疹,痱子
粟性疹,痱子
粟疹,痱子
分离垂直性偏斜,分离性垂直偏斜
分离障碍,分离性障碍
歇斯底里症,分离性障碍
癔病,分离性障碍
癔症,分离性障碍
转换性障碍,分离性障碍
分裂情感性精神病,分裂情感性障碍
情感分裂性精神障碍,分裂情感性障碍
分泌物过多青光眼,分泌过多性青光眼
非化脓性中耳炎,分泌性中耳炎
卡他性中耳炎,分泌性中耳炎
黏液性中耳炎,分泌性中耳炎
渗出性中耳炎,分泌性中耳炎
产后泌尿道感染,分娩后泌尿道感染
边缘带脑梗死,分水岭脑梗死
分水岭脑梗死[边缘带脑梗死],分水岭脑梗死
分水岭区脑梗死,分水岭脑梗死
分水岭样梗塞,分水岭脑梗死
脑分水岭梗死,分水岭脑梗死
风湿病性贫血症,风湿病性贫血
急性风湿病,风湿热
急性风湿性多关节炎,风湿热
风湿性多发性肌痛,风湿性多肌痛
风湿性多肌病,风湿性多肌痛
Polymyalgia Rheumatica,风湿性多肌痛
风湿性二尖瓣及主动脉瓣闭锁不全,风湿性二尖瓣伴主动脉瓣关闭不全
风湿性二尖瓣回流,风湿性二尖瓣反流
风湿性二尖瓣闭锁不全,风湿性二尖瓣关闭不全
风湿性二尖瓣闭锁不全伴主动脉瓣狭窄,风湿性二尖瓣关闭不全伴主动脉瓣狭窄
风湿性二尖瓣闭锁不全伴主动脉狭窄闭锁不全,风湿性二尖瓣关闭不全伴主动脉瓣狭窄关闭不全
风湿性二尖瓣病,风湿性二尖瓣狭窄
风湿性心瓣膜病,风湿性二尖瓣狭窄
风湿性心脏瓣膜病,风湿性二尖瓣狭窄
风心病二尖瓣狭窄,风湿性二尖瓣狭窄
风湿性二尖瓣狭窄伴闭锁不全,风湿性二尖瓣狭窄伴关闭不全
小舞蹈症,风湿性舞蹈症
风湿性舞蹈症[小舞蹈症],风湿性舞蹈症
syclenham舞蹈病,风湿性舞蹈症
Sydenham舞蹈病,风湿性舞蹈症
风湿性舞蹈病,风湿性舞蹈症
感染性舞蹈病,风湿性舞蹈症
圣安东尼氏舞蹈病,风湿性舞蹈症
圣安东尼舞蹈病,风湿性舞蹈症
Sydenham Chorea,风湿性舞蹈症
西德纳姆舞蹈,风湿性舞蹈症
小舞蹈病,风湿性舞蹈症
西德纳姆伴心包炎,风湿性舞蹈症伴心包炎
西德纳姆伴心肌炎,风湿性舞蹈症伴心肌炎
风心病,风湿性心脏病
急性风湿性心脏病,风湿性心脏病
风湿性主动脉瓣疾病,风湿性主动脉瓣病
风湿性主动脉瓣返流,风湿性主动脉瓣反流
风湿性主动脉瓣闭锁不全,风湿性主动脉瓣关闭不全
风湿性主动脉瓣狭窄伴闭锁不全,风湿性主动脉瓣狭窄伴关闭不全
病毒性德国麻疹,风疹
风痧,风疹
红疹,风疹
流行性蔷薇疹,风疹
隐疹,风疹
槭糖尿病,枫糖尿病
枫糖尿症,枫糖尿病
支链酮酸尿症,枫糖尿病
Maple Syrup Urine Disease,枫糖尿病
蜂窝肺综合症,蜂窝肺综合征
蜂窝发,蜂窝织炎
蜂窝组织炎,蜂窝织炎
弥漫性蜂窝织炎,蜂窝织炎
Ⅰ型糖原累积病,冯-吉尔克病
Ⅰ型糖原性肝肾大,冯-吉尔克病
I型糖原贮积病,冯-吉尔克病
von Geirk病,冯-吉尔克病
第Ⅰ型糖原累积病,冯-吉尔克病
葡萄糖-6-磷酸酶缺陷症,冯-吉尔克病
糖原贮积病Ⅰ型,冯-吉尔克病
Glycogen Storage Disease Type I,冯-吉尔克病
踝管综合征,跗管综合征
跖管综合征,跗管综合征
跖管综合症,跗管综合征
Tarsal Tunnel syndrome,跗管综合征
跗骨小管综合征,跗管综合征
Lisfranc骨折脱位,跗跖关节骨折脱位
跗跖关节骨折脱位[Lisfranc骨折脱位],跗跖关节骨折脱位
弗朗西斯氏菌肺炎,弗郎西丝菌肺炎
土拉热弗郎西丝菌肺炎,弗郎西丝菌肺炎
土拉热菌病,弗郎西丝菌肺炎
氟中毒,氟骨症
氟中毒性骨病,氟骨症
斑釉,氟牙症
斑釉牙,氟牙症
氟斑牙,氟牙症
Lutz病,匐行穿孔性弹性组织变性
穿通性弹力纤维病,匐行穿孔性弹性组织变性
匐行性穿通性弹力纤维病,匐行穿孔性弹性组织变性
匐行性毛囊角化病,匐行穿孔性弹性组织变性
毛囊旁角化病,匐行穿孔性弹性组织变性
移动性幼虫疹,匐行疹
放射性白内障,辐射性白内障
放射性晶状体改变,辐射性白内障
放射性内障,辐射性白内障
辐射能性白内障,辐射性白内障
Glycogen Storage Disease Type III,福布斯病
糖原贮积病Ⅲ型,福布斯病
柯里氏病,福布斯病
大汗腺性痒疹,福克斯-阜太斯病
顶泌汗腺粟粒疹,福克斯-阜太斯病
福克斯-福代斯病,福克斯-阜太斯病
福克斯-福代斯二氏病,福克斯-阜太斯病
汗腺毛囊角化病,福克斯-阜太斯病
汗腺毛囊角化症,福克斯-阜太斯病
腋窝阴阜顶泌汗腺(大汗腺)炎,福克斯-阜太斯病
妇女男子型秃发,妇女雄激素源性秃发
血虫体病,附红细胞体病
多肾异常,附加肾
额外肾,附加肾
Brill-Zinsser病,复发型斑疹伤寒
复发型斑疹伤寒[Brill-Zinsser病],复发型斑疹伤寒
阿弗他溃疡,复发性阿弗他溃疡
复发性阿弗他口炎,复发性阿弗他溃疡
复发性口疮,复发性阿弗他溃疡
复发性口腔阿弗他溃疡,复发性阿弗他溃疡
复发性口腔溃疡,复发性阿弗他溃疡
口疮,复发性阿弗他溃疡
口腔黏膜病,复发性阿弗他溃疡
口腔黏膜炎,复发性阿弗他溃疡
复发性口疮性口炎,复发性阿弗他性口腔炎
复发性口疱,复发性阿弗他性口腔炎
舌疮,复发性阿弗他性口腔炎
多发性软骨炎软骨膜炎,复发性多发性软骨炎伴发的葡萄膜炎
复发性多发软骨炎伴发的葡萄膜炎,复发性多发性软骨炎伴发的葡萄膜炎
复发性多发软骨炎伴发的色素膜炎,复发性多发性软骨炎伴发的葡萄膜炎
复发性多软骨炎伴发的葡萄膜炎,复发性多发性软骨炎伴发的葡萄膜炎
复发性多软骨炎伴发的色素膜炎,复发性多发性软骨炎伴发的葡萄膜炎
多发性软骨病,复发性多软骨炎
复发性多发软骨炎,复发性多软骨炎
Relapsing Polychondritis,复发性多软骨炎
复发性多发软骨炎性巩膜炎,复发性多软骨炎性巩膜炎
Hench-Rosenberg综合征,复发性风湿病
Hench综合征,复发性风湿病
发作性风湿症,复发性风湿病
复发性风湿症,复发性风湿病
再发性腹膜后肿瘤,复发性腹膜后肿瘤
腺周口疮,复发性坏死性黏膜腺周围炎
重型阿弗他溃疡,复发性坏死性黏膜腺周围炎
复发性口疮1型,复发性坏死性黏膜周围炎
复发性卵巢恶性瘤,复发性卵巢恶性肿瘤
RVVC,复发性外阴阴道念珠菌病
复发性假丝酵母菌外阴阴道炎,复发性外阴阴道念珠菌病
难治性外阴阴道炎,复发性外阴阴道念珠菌病
严重性外阴阴道炎,复发性外阴阴道念珠菌病
Weber-Christian病,复发性脂膜炎
回归热性结节性非化脓性脂膜炎,复发性脂膜炎
结节性脂膜炎,复发性脂膜炎
韦伯-克里斯琴,复发性脂膜炎
复发性脂膜炎[Weber-Christian病],复发性脂膜炎
酸碱紊乱,复合型酸碱失衡
酸碱中毒,复合型酸碱失衡
唇肿、面瘫、裂舌三联症,复杂性颜面水肿-面瘫-沟状舌综合征
梅尔克松-罗森塔尔综合征,复杂性颜面水肿-面瘫-沟状舌综合征
梅-罗综合征,复杂性颜面水肿-面瘫-沟状舌综合征
肉芽肿性唇炎综合征,复杂性颜面水肿-面瘫-沟状舌综合征
复杂性颜面水肿-面瘫-沟状舌综合征[梅尔克松-罗森塔尔综合征],复杂性颜面水肿-面瘫-沟状舌综合征
副流感,副流感病毒感染
副流行性感冒,副流感病毒感染
类流感,副流感病毒感染
仙台病毒感染,副流感病毒感染
挤奶员结节,副牛痘
挤奶者结节,副牛痘
假牛痘综合征,副牛痘
亚牛痘疹,副牛痘
巴西巴西芽生菌病,副球孢子菌病
副球孢子菌性肉芽肿,副球孢子菌病
副球孢子肉芽肿,副球孢子菌病
类球孢子菌病,副球孢子菌病
南美芽生菌病,副球孢子菌病
副溶血弧菌食物中毒,副溶血性弧菌食物中毒
食物中毒,副溶血性弧菌食物中毒
嗜盐菌食物中毒,副溶血性弧菌食物中毒
致病性嗜盐菌食物中毒,副溶血性弧菌食物中毒
多乳房,副乳
多乳房畸形,副乳
多乳头症,副乳
沙门氏菌病,副伤寒
类牛皮癣,副银屑病
类银屑病,副银屑病
副肿瘤性边缘系脑炎,副肿瘤性边缘系统脑炎
类肿瘤性边缘系脑炎,副肿瘤性边缘系统脑炎
类肿瘤性边缘系统脑炎,副肿瘤性边缘系统脑炎
类肿瘤性脊髓病,副肿瘤性脊髓病
副肿瘤性斜视性眼阵挛,副肿瘤性斜视性眼肌阵挛-肌阵挛
富于淋巴细胞经典型霍奇金淋巴瘤,富含淋巴细胞的经典霍奇金淋巴瘤
富于淋巴细胞型霍奇金淋巴瘤,富含淋巴细胞的经典霍奇金淋巴瘤
Fournier氏坏疽,腹壁坏死性筋膜炎
Meleney's溃疡,腹壁坏死性筋膜炎
腹壁非气性坏疽,腹壁坏死性筋膜炎
腹壁坏死性丹毒,腹壁坏死性筋膜炎
腹壁急性皮肤坏疽,腹壁坏死性筋膜炎
腹壁溶血性链球菌坏疽,腹壁坏死性筋膜炎
腹壁协同坏死性蜂窝织炎,腹壁坏死性筋膜炎
腹壁医院坏疽,腹壁坏死性筋膜炎
腹壁间层疝,腹壁间疝
Mondor病,腹壁血栓性静脉炎
腹壁血栓静脉炎,腹壁血栓性静脉炎
胸腹壁血栓性静脉炎,腹壁血栓性静脉炎
Amniotic Band Syndrome,腹壁羊膜索带综合征
腹壁成纤维瘤,腹壁硬纤维瘤
腹壁带状瘤,腹壁硬纤维瘤
腹壁复发性纤维样瘤,腹壁硬纤维瘤
腹壁侵袭性纤维瘤病,腹壁硬纤维瘤
腹壁韧带样纤维瘤,腹壁硬纤维瘤
腹壁纤维瘤病,腹壁硬纤维瘤
腹壁纤维组织瘤样增生,腹壁硬纤维瘤
腹股沟滑动性疝,腹股沟滑动疝
腹股沟滑疝,腹股沟滑动疝
Donnovan病,腹股沟肉芽肿
Donnovan肉芽肿,腹股沟肉芽肿
性病肉芽肿,腹股沟肉芽肿
性病性肉芽肿,腹股沟肉芽肿
腹股沟疝气,腹股沟疝
腹股沟内疝,腹股沟直疝
直接腹股沟疝,腹股沟直疝
腹肌发育不全综合征,腹肌缺乏综合征
包膜内粘连性肠梗阻,腹茧症
腹腔茧状包裹症,腹茧症
先天性小肠禁锢症,腹茧症
小肠茧状包裹症,腹茧症
小肠节段性纤维包裹症群,腹茧症
腹裂畸形,腹裂
腹膜后纤维变性,腹膜后纤维化
Retroperitoneal Fibrosis,腹膜后纤维化
原发性腹膜后脂肪瘤,腹膜后脂肪瘤
腹膜假性粘液瘤,腹膜假黏液瘤
腹膜间皮细胞瘤,腹膜间皮瘤
转移性腹膜肿瘤,腹膜转移癌
腹腔并殖吸虫病,腹腔肺吸虫病
腹腔筋膜室综合征[腹腔室隔综合征ACS],腹腔筋膜室综合征
腹腔室隔综合征ACS,腹腔筋膜室综合征
腹膜内妊娠,腹腔妊娠
腹孕,腹腔妊娠
腹腔高压综合征,腹腔室隔综合征
腹腔间隔室综合征,腹腔室隔综合征
腹腔皮下综合征,腹腔室隔综合征
腹腔室隔综合症,腹腔室隔综合征
急性腹腔高压综合征,腹腔室隔综合征
腹腔积液,腹水
痢疾,腹泻
腹直肌自然性破裂,腹直肌自发性破裂
破裂性腹主动脉瘤,腹主动脉动脉瘤破裂
不典型主动脉缩窄,腹主动脉缩窄
腹主动脉发育不良,腹主动脉缩窄
中段主动脉发育不良,腹主动脉缩窄
中段主动脉综合征,腹主动脉缩窄
腹主动脉血栓形成综合征,腹主动脉血栓综合征
孤立性腹主动脉髂动脉病,腹主动脉血栓综合征
渐进性主动脉末端部分血栓形成综合征,腹主动脉血栓综合征
慢性腹主动脉髂动脉阻塞,腹主动脉血栓综合征
末端主动脉血栓形成,腹主动脉血栓综合征
末端主动脉血栓形成综合征,腹主动脉血栓综合征
终末主动脉髂动脉闭锁综合征,腹主动脉血栓综合征
主动脉分叉闭塞综合征,腹主动脉血栓综合征
pindborg瘤,钙化上皮性牙源性瘤
牙源性钙化上皮瘤,钙化上皮性牙源性瘤
牙源性钙化囊肿,钙化性牙源性囊肿
Galeazzi骨折,盖氏骨折
Piedmont骨折,盖氏骨折
必须骨折,盖氏骨折
反孟氏骨折,盖氏骨折
加莱亚蒂骨折,盖氏骨折
甘露糖苷贮积症,甘露糖苷过多症
Ganser综合征,甘泽综合征
甘泽综合征[Ganser综合征],甘泽综合征
阿米巴肝脓肿,肝阿米巴病
阿米巴性肝脓肿,肝阿米巴病
肝阿米巴病[阿米巴肝脓肿],肝阿米巴病
肝间叶性错构瘤,肝错构瘤
肝脏错构瘤,肝错构瘤
肝肿大,肝大
肝淀粉样变,肝淀粉样变性
肝脏淀粉样变,肝淀粉样变性
肝脏淀粉样变性,肝淀粉样变性
肝脏淀粉样变性病,肝淀粉样变性
肝脏淀粉样物质沉积症,肝淀粉样变性
肝脏梗塞,肝动脉闭塞
肝脏梗死,肝动脉闭塞
Wilson病,肝豆状核变性
肝豆状核变性[Wilson病],肝豆状核变性
威尔逊变性,肝豆状核变性
威尔逊病,肝豆状核变性
威尔逊氏变性,肝豆状核变性
威尔逊氏病,肝豆状核变性
威尔逊氏综合征,肝豆状核变性
Hepatolenticular Degeneration(Wilson Disease),肝豆状核变性
Hepatolenticular Degeneration,肝豆状核变性
Wilson Disease,肝豆状核变性
Wilson病伴发的精神障碍,肝豆状核变性伴发的精神障碍
威尔逊病伴发的精神障碍,肝豆状核变性伴发的精神障碍
威尔逊氏病伴发的精神障碍,肝豆状核变性伴发的精神障碍
威尔逊氏综合征伴发的精神障碍,肝豆状核变性伴发的精神障碍
威尔逊综合征伴发的精神障碍,肝豆状核变性伴发的精神障碍
肝肺综合症,肝肺综合征
Hepatopulmonary Syndrome,肝肺综合征
肝包虫病,肝棘球蚴病
肝包虫囊肿,肝棘球蚴病
肝棘球蚴病[肝包虫病],肝棘球蚴病
肝巨噬细胞肉瘤[Kupffer细胞肉瘤],肝巨噬细胞肉瘤
Kupffer细胞肉瘤,肝巨噬细胞肉瘤
肝库普弗细胞肉瘤,肝巨噬细胞肉瘤
库弗细胞肉瘤,肝巨噬细胞肉瘤
肝毒细胞瘤,肝母细胞瘤
肝胚胎瘤,肝母细胞瘤
肝胚细胞瘤,肝母细胞瘤
婴幼儿肝细胞癌,肝母细胞瘤
肝内胆管细胞癌,肝内胆管癌
肝胆管结石,肝内胆管结石
肝胆管结石病,肝内胆管结石
原发性肝胆管结石,肝内胆管结石
肝上皮样血管内皮瘤,肝上皮样血管内皮细胞瘤
肝肾综合症,肝肾综合征
Hepatorenal Syndrome,肝肾综合征
肝肾病征,肝肾综合征
急性浆液性肝肾炎,肝肾综合征
肝功能衰竭,肝衰竭
肝素诱发的血小板减少症,肝素诱导性血小板减少症
肝脏创伤,肝损伤
肝脏外伤,肝损伤
肝细胞型药物性肝病,肝细胞损伤型药物性肝病
肝纤维变性,肝纤维化
肝细胞腺瘤,肝腺瘤
肝脏腺瘤,肝腺瘤
窦状隙梗阻综合征,肝小静脉闭塞症
肝静脉闭塞病,肝小静脉闭塞症
Waldenstrom综合征,肝性卟啉病
肝卟啉病,肝性卟啉病
肝性卟啉症,肝性卟啉病
肝性紫质症,肝性卟啉病
急性间歇性卟啉症（AIP）,肝性卟啉病
门-腔分流性脊髓病,肝性脊髓病
肝昏迷,肝性脑病
肝昏迷(肝性脑病),肝性脑病
肝脑变性综合征,肝性脑病
肝性昏迷,肝性脑病
获得性肝脑变性综合征,肝性脑病
慢性肝脑或脊髓变性,肝性脑病
肝血管肌脂瘤,肝血管平滑肌脂肪瘤
肝恶性血管内皮瘤,肝血管肉瘤
肝网状内皮细胞瘤,肝血管肉瘤
肝血管内皮肉瘤,肝血管肉瘤
肝血管内皮细胞肉瘤,肝血管肉瘤
肝脏恶性血管瘤,肝血管肉瘤
肝脏血管肉瘤,肝血管肉瘤
恢复期肝炎综合征,肝炎后综合征
肝硬变,肝硬化
内分泌缺乏-肝硬化综合征,肝硬化男性性功能减弱综合征
西-科二氏综合征,肝硬化男性性功能减弱综合征
肝硬变性肾损害,肝硬化性肾损害
肝硬化性肾小球肾炎,肝硬化性肾损害
肝硬性肾小球硬化,肝硬化性肾损害
肝脏疾病所致贫血症,肝脏疾病所致贫血
肝脏肿瘤,肝肿瘤
杆菌性血骨病,杆菌性上皮样血管瘤病
杆菌性血管瘤病,杆菌性上皮样血管瘤病
上皮样血管瘤病,杆菌性上皮样血管瘤病
小儿传染病后脑脊髓炎,感染后脑脊髓炎
小儿传染病后脑炎,感染后脑脊髓炎
小儿感染后脑脊髓炎,感染后脑脊髓炎
小儿急性播散性脑脊髓炎,感染后脑脊髓炎
小儿疫苗后脑脊髓炎,感染后脑脊髓炎
小儿种痘后脑脊髓炎,感染后脑脊髓炎
预防接种后脑脊髓炎,感染后脑脊髓炎
急性胃肠炎,感染性腹泻
感染性疾病所致贫血症,感染性疾病所致贫血
IE,感染性心内膜炎
传染性心内膜炎肾损害,感染性心内膜炎肾损害
感觉神经性聋,感音神经性聋
感应性精神病,感应性妄想性障碍
