天泉乐欣,18种氨基酸注射液
博维赫,果糖二磷酸钠注射液
瑞安吉,果糖二磷酸钠注射液
安果,果糖二磷酸钠注射液
艾贝然,果糖二磷酸钠注射液
甘乐力,果糖氯化钠注射液
丰海平,果糖氯化钠注射液
奇丰,果糖氯化钠注射液
丰海能,果糖注射液
韦贝仙,果糖注射液
普利康,果糖注射液
护川,果糖注射液
碧宁,过氧苯甲酰凝胶
过氧苯甲酸凝胶,过氧苯甲酰凝胶
班赛,过氧苯甲酰凝胶
班赛,过氧化苯甲酰凝胶
乐肤液,哈西奈德溶液
哈乐特,哈西奈德涂膜剂
天亿,还原型谷胱甘肽滴眼液
阿拓莫兰,还原型谷胱甘肽片
盖胃平,海藻酸铝镁颗粒
灵比伦,合成鱼腥草素片
西克,红花黄色素氯化钠注射液
复洛,红花注射液
新红康,红霉素肠溶胶囊
美红,红霉素肠溶胶囊
益盛,红霉素肠溶片
万通,红霉素肠溶片
迪瑞,红霉素肠溶片
必麦森,红霉素过氧苯甲酰凝胶
博德桑特,红细胞保存液(MAP)
羚康,喉舒宁片
音力,喉痛灵片
谓葆,猴头菌提取物颗粒
瑞阳,厚朴排气合剂
倍他乐克,琥珀酸美托洛尔缓释片
力洛,琥珀酸普芦卡必利片
纳川,琥珀酸舒马普坦胶囊
尤舒,琥珀酸舒马普坦片
卫喜康,琥珀酸索利那新片
速力菲,琥珀酸亚铁缓释片
速力菲,琥珀酸亚铁颗粒
速力菲,琥珀酸亚铁颗粒剂
速力菲,琥珀酸亚铁片
佳乐施,琥珀酰明胶注射液
长源雪安,琥珀酰明胶注射液
科特加,琥乙红霉素分散片
三九君必沙,琥乙红霉素分散片
利君沙,琥乙红霉素胶囊
利君沙,琥乙红霉素颗粒
艾加星,琥乙红霉素口腔崩解片
利君沙,琥乙红霉素片
Marevan,华法林钠片
华法令,华法林钠片
金合,化毒丸
田可明,环孢素滴眼液
新赛斯平,环孢素口服溶液
新赛斯平,环孢素软胶囊
新山地明,环孢素软胶囊
田可,环孢素软胶囊
因普兰他,环孢素软胶囊
山地明,环孢素注射液
环利,环吡酮胺乳膏
阿修罗,环吡酮胺乳膏
赛洁,环吡酮胺乳膏
得凡尼金,环吡酮胺阴道栓
巴特芬,环吡酮搽剂
悉复欢,环丙沙星缓释片
安道生,环磷酰胺片
扶信,环磷腺苷葡胺注射液90mg
天安欣,环磷腺苷注射液
康斯澳,环磷腺苷注射液
铭生,环磷腺苷注射液
凯济欣,环磷腺苷注射液
灵辰功,环磷腺苷注射液
尼脉宁,环磷腺苷注射液
韦安,环磷腺苷注射液
沃平,环磷腺苷注射液
肖山平,环磷腺苷注射液
正瑞,环戊硫酮片
茴三硫片,环戊硫酮片
达发新,环酯红霉素片
冠沙,环酯红霉素片
澳抒欣,环酯红霉素硬胶囊
乐宝得,黄体生成素卵泡刺激素注射液
安琪坦,黄体酮胶囊
益玛欣,黄体酮胶囊
来婷,黄体酮胶丸
安琪坦,黄体酮软胶囊
琪宁,黄体酮软胶囊
雪诺同,黄体酮阴道缓释凝胶
创贝,磺胺嘧啶锌软膏
安卓,磺达肝癸钠注射液
彼迪清,磺啶冰黄片
悦康圣灵,磺啶冰黄片
金泉宝山,磺啶冰黄片
毕思灵,茴拉西坦分散片
顺坦,茴拉西坦分散片
三乐喜,茴拉西坦胶囊
圣和凯宁,茴拉西坦胶囊
益灵舒,茴拉西坦颗粒
博邦邻,茴拉西坦颗粒
忆立福,茴拉西坦片
新海能,混合糖电解质注射液
精一,肌氨肽苷注射液
康乃尔,肌氨肽苷注射液
凯达通欣,肌氨肽苷注射液
因必欣,肌氨肽苷注射液
甘可,肌苷氯化钠注射液
科米雅,肌苷氯化钠注射液
丹泽,肌苷氯化钠注射液
易荣欣,肌苷氯化钠注射液
欣丰,肌苷氯化钠注射液
安洁迪林,肌苷氯化钠注射液
巴泉,肌苷氯化钠注射液
德益美,肌苷氯化钠注射液
恩立克,肌苷氯化钠注射液
复力定,肌苷氯化钠注射液
甘全,肌苷氯化钠注射液
湖月,肌苷氯化钠注射液
莱美康,肌苷氯化钠注射液
兰旭,肌苷氯化钠注射液
力孚,肌苷氯化钠注射液
全助,肌苷氯化钠注射液
延罗祺,肌苷氯化钠注射液
永瑞能,肌苷氯化钠注射液
泽贝,肌苷氯化钠注射液
左禾,肌苷氯化钠注射液
彼迪甘,肌苷葡萄糖注射液
复力欣,肌苷葡萄糖注射液
竹路,肌苷葡萄糖注射液
阿可欣,鸡胆口服溶液
惠加强-G,吉法酯片
常衡林,吉非罗齐胶囊
洛平,吉非罗齐胶囊
维绛知,吉非罗齐胶囊
尤瑞旨,吉非罗齐胶囊
新斯达,吉非罗齐片
易瑞沙,吉非替尼片
伊瑞可,吉非替尼片
瑞潘通,己酮可可碱肠溶片
舒安灵,己酮可可碱肠溶片
佳乐同康,己酮可可碱氯化钠注射液
福枢,己酮可可碱氯化钠注射液
潘多喜来,己酮可可碱氯化钠注射液
博舒特,己酮可可碱氯化钠注射液
丹可,己酮可可碱氯化钠注射液
菲克维康,己酮可可碱氯化钠注射液
甘风,己酮可可碱氯化钠注射液
茂平,己酮可可碱氯化钠注射液
潘可福林,己酮可可碱氯化钠注射液
润心舒,己酮可可碱氯化钠注射液
舒芙罗,己酮可可碱氯化钠注射液
双可,己酮可可碱氯化钠注射液
祥迪,己酮可可碱氯化钠注射液
益枢,己酮可可碱氯化钠注射液
嘉立博,己酮可可碱葡萄糖注射液
奥酮,己酮可可碱葡萄糖注射液
点可舒,己酮可可碱葡萄糖注射液
潘多喜莱,己酮可可碱葡萄糖注射液
太通,己酮可可碱葡萄糖注射液
天存,己酮可可碱葡萄糖注射液
辛弗,己酮可可碱葡萄糖注射液
乙菧酚片,己烯雌酚片
爱宝维,脊髓灰质炎灭活疫苗
埃必维,脊髓灰质炎灭活疫苗
迭力,加巴喷丁胶囊
纽诺汀,加巴喷丁胶囊
派汀,加巴喷丁胶囊
祝宁,加替沙星滴眼液
珈力,加替沙星胶囊
莱迪,加替沙星胶囊
百科沙,加替沙星胶囊
敢诺新,加替沙星胶囊
海超,加替沙星胶囊
必致,加替沙星胶囊
葵严,加替沙星胶囊
舒普仁,加替沙星胶囊
欣迪特,加替沙星胶囊
严立菲,加替沙星胶囊
奎泰,加替沙星氯化钠注射液
澳莱克,加替沙星氯化钠注射液
乐派,加替沙星氯化钠注射液
加葵龙,加替沙星氯化钠注射液
帕特拉,加替沙星氯化钠注射液
巴替,加替沙星氯化钠注射液
来福乐欣,加替沙星氯化钠注射液
卡麦,加替沙星氯化钠注射液
丰海甘,加替沙星氯化钠注射液
海超,加替沙星氯化钠注射液
加益新,加替沙星氯化钠注射液
凯泽,加替沙星氯化钠注射液
利欧,加替沙星氯化钠注射液
尚邦,加替沙星氯化钠注射液
利欧,加替沙星片
凯泽,加替沙星片
悦博,加替沙星片
诺丽尔,加替沙星片
澳莱克,加替沙星片
辰正,加替沙星片
福奇,加替沙星片
恒森,加替沙星片
嘉迪福,加替沙星片
加西 ,加替沙星片
奎尔泰,加替沙星片
天坤 ,加替沙星片
先奎莎,加替沙星片
悦博,加替沙星葡萄糖注射液
严克仙,加替沙星葡萄糖注射液
欧特罗康,加替沙星葡萄糖注射液
艾尔嘉,加替沙星葡萄糖注射液
地纳克,加替沙星葡萄糖注射液
佳洛灵,加替沙星葡萄糖注射液
加泰,加替沙星葡萄糖注射液
佳利克,加替沙星葡萄糖注射液
迪友,加替沙星眼用凝胶
利欧,加替沙星注射液
莱美清,加替沙星注射液
乐派,加替沙星注射液
同博,加替沙星注射液
芙蒂星,加替沙星注射液
海超,加替沙星注射液
加恒兴,加替沙星注射液
洛卡诺,加替沙星注射液
玛马维奇,加替沙星注射液
千意,加替沙星注射液
同诺欣,加替沙星注射液
双福立适,甲、乙型肝炎联合疫苗
倍尔来福,甲、乙型肝炎联合疫苗
美素生,甲氨蝶呤注射液
密都,甲氨蝶呤注射液
多吉美,甲苯磺酸索拉非尼片
昂特,甲苯磺酸托氟沙星胶囊
诺力思,甲苯磺酸妥舒沙星片
赐尔泰,甲苯磺酸妥舒沙星片
安乐士,甲苯咪唑片
贝可力,甲地高辛片
赛美欣,甲砜霉素颗粒
悦敏兴,甲钴胺胶囊
乐亢,甲钴胺胶囊
泛敏补,甲钴胺胶囊
奇信,甲钴胺胶囊
洛唐,甲钴胺胶囊
弥尔神,甲钴胺胶囊
曲力,甲钴胺胶囊
奇信,甲钴胺片
亚宝力维,甲钴胺片
怡神保,甲钴胺片
代芳,甲钴胺片
麦拓,甲钴胺片
成强,甲钴胺片
加利保,甲钴胺片
弥可保,甲钴胺片
弥诺,甲钴胺片
爱柯保,甲钴胺片
博迪同,甲钴胺片
博可保,甲钴胺片
禾保,甲钴胺片
欧维,甲钴胺片
兆敏欣,甲钴胺片
曲力,甲钴胺注射液
博可保,甲钴胺注射液
弥可保,甲钴胺注射液
代芳,甲钴胺注射液
欣可保,甲钴胺注射液
克瑞帕,甲磺酸α-二氢麦角隐亭片
都可喜,甲磺酸阿米三嗪萝巴新片
艾坦,甲磺酸阿帕替尼片
欣络平,甲磺酸氨氯地平片
敏使朗,甲磺酸倍他司汀片
立必复,甲磺酸多拉司琼注射液
可多华,甲磺酸多沙唑嗪缓释片
仲维,甲磺酸多沙唑嗪片
必亚欣,甲磺酸多沙唑嗪片
东港天乐,甲磺酸多沙唑嗪片
络欣平,甲磺酸多沙唑嗪片
多喜林,甲磺酸多沙唑嗪片
今倡,甲磺酸多沙唑嗪片
双将平,甲磺酸多沙唑嗪片
伊粒平,甲磺酸多沙唑嗪片
伊舒通,甲磺酸多沙唑嗪片
培磊能,甲磺酸二氢麦角碱缓释胶囊
依舒佳林,甲磺酸二氢麦角碱缓释片
舒脑宁,甲磺酸二氢麦角碱缓释片
赫立可,甲磺酸酚妥拉明颗粒
和欣,甲磺酸酚妥拉明片
安挺,甲磺酸酚妥拉明片
利其丁,甲磺酸酚妥拉明注射液
吉速星,甲磺酸吉米沙星片
邦加分宁,甲磺酸加替沙星分散片
加力宁,甲磺酸加替沙星胶囊
格岚亭,甲磺酸加替沙星胶囊
恬信,甲磺酸加替沙星胶囊
乐来,甲磺酸加替沙星氯化钠注射液
加力宁,甲磺酸加替沙星氯化钠注射液
益通,甲磺酸加替沙星氯化钠注射液
乐来,甲磺酸加替沙星片
金喹安,甲磺酸加替沙星片
奥万基,甲磺酸加替沙星片
邦赛,甲磺酸加替沙星葡萄糖注射液
钰均泰,甲磺酸加替沙星葡萄糖注射液
奥广先,甲磺酸加替沙星注射液
威赛因,甲磺酸罗哌卡因氯化钠注射液
泽荣,甲磺酸罗哌卡因注射液
达卡,甲磺酸罗哌卡因注射液
威赛因,甲磺酸罗哌卡因注射液
博静,甲磺酸罗哌卡因注射液
赛乐品,甲磺酸罗哌卡因注射液
蒙安达,甲磺酸罗哌卡因注射液
莱美净,甲磺酸帕珠沙星氯化钠注射液
佳乐同欣,甲磺酸帕珠沙星氯化钠注射液
君克多,甲磺酸帕珠沙星氯化钠注射液
齐若达,甲磺酸帕珠沙星氯化钠注射液
派抒可,甲磺酸帕珠沙星氯化钠注射液
伏立特,甲磺酸帕珠沙星氯化钠注射液
巴红,甲磺酸帕珠沙星氯化钠注射液
博信,甲磺酸帕珠沙星氯化钠注射液
恒沐,甲磺酸帕珠沙星氯化钠注射液
米斯龙,甲磺酸帕珠沙星氯化钠注射液
敏星,甲磺酸帕珠沙星氯化钠注射液
尼赛信,甲磺酸帕珠沙星氯化钠注射液
诺加欣,甲磺酸帕珠沙星氯化钠注射液
仁格多那,甲磺酸帕珠沙星氯化钠注射液
宣搏,甲磺酸帕珠沙星氯化钠注射液
亚征利,甲磺酸帕珠沙星氯化钠注射液
加易尼,甲磺酸帕珠沙星注射液
锋珠烨,甲磺酸帕珠沙星注射液
威利仙,甲磺酸帕珠沙星注射液
旭原,甲磺酸帕珠沙星注射液
安替,甲磺酸帕珠沙星注射液
法多琳,甲磺酸帕珠沙星注射液
君普,甲磺酸帕珠沙星注射液
莱美净,甲磺酸帕珠沙星注射液
尼赛信,甲磺酸帕珠沙星注射液
帕迪星,甲磺酸帕珠沙星注射液
仁格多那,甲磺酸帕珠沙星注射液
通琦,甲磺酸帕珠沙星注射液
维予清,甲磺酸帕珠沙星注射液
宣搏,甲磺酸帕珠沙星注射液
典沙,甲磺酸培氟沙星葡萄糖注射液
甲培新,甲磺酸培氟沙星葡萄糖注射液
维宁佳,甲磺酸培氟沙星注射液
万辅,甲磺酸培氟沙星注射液
辰景,甲磺酸培氟沙星注射液
澳得赛,甲磺酸培氟沙星注射液
力复君安,甲磺酸齐拉西酮注射液
叶洛抒,甲磺酸瑞波西汀胶囊
佐乐辛,甲磺酸瑞波西汀片
叶洛抒,甲磺酸瑞波西汀片
赛格乐,甲磺酸双氢麦角胺缓释胶囊
喜得镇,甲磺酸双氢麦角毒碱片
舒欧亭,甲磺酸托烷司琼注射液
佰莫亭,甲磺酸溴隐亭片
格列卫,甲磺酸伊马替尼胶囊
格列卫,甲磺酸伊马替尼片
昕维,甲磺酸伊马替尼片
特夫比克,甲磺酸左氧氟沙星胶囊
特夫比克,甲磺酸左氧氟沙星片
利复星,甲磺酸左氧氟沙星片
特夫比克,甲磺酸左氧氟沙星注射液
利复星,甲磺酸左氧氟沙星注射液
维定喜,甲硫氨酸维B1注射液
尤金,甲泼尼龙片
美卓乐,甲泼尼龙片
赛治,甲巯咪唑片
他巴唑,甲巯咪唑片
佳琪亚,甲巯咪唑软膏
安曲希,甲酰四氢叶酸钙注射液
舒瑞特,甲硝唑含片
一孚晴,甲硝唑缓释片
华适,甲硝唑缓释片
麦斯特,甲硝唑口腔粘贴片
碧洁,甲硝唑氯己定洗剂
丽芙,甲硝唑凝胶
必致,甲硝唑片
耐瑞,甲硝唑乳膏
平洁,甲硝唑乳膏
灭滴灵,甲硝唑栓
尼美欣,甲硝唑阴道凝胶
东方金宝,甲硝唑阴道泡腾片
盼尔来福.1,甲型H1N1流感病毒裂解疫苗
维康特,甲型肝炎纯化灭活疫苗
贺福立适,甲型肝炎灭活疫苗
孩尔来福,甲型肝炎灭活疫苗
爱巴苏,甲型肝炎灭活疫苗
巴维信,甲型肝炎灭活疫苗
维康特,甲型肝炎灭活疫苗
维赛瑞安,甲型肝炎灭活疫苗
敏柏宁,甲氧沙林片
倍尔来福,甲乙型肝炎联合疫苗
双福立适,甲乙型肝炎联合疫苗
紫药水,甲紫溶液
斯帕丰,间苯三酚注射液
佩普,碱式水杨酸铋口服混悬液
佩普,碱式水杨酸铋片
好娃娃,健儿消食口服液
赛而,降纤酶注射液
华纳福,胶体果胶铋干混悬剂
U比乐,胶体果胶秘胶囊
比特诺尔,胶体酒石酸铋胶囊
力文,结构脂肪乳注射液(C6～24)
倍美力,结合雌激素片
红丽来,结合雌激素片
倍美力,结合雌激素软膏
润达君,金刚藤颗粒
消爽,金莲花胶囊
瑞得,金诺芬片
思复胜,金葡素注射液
高聚生,金葡素注射液
恩格菲,金葡素注射液
老方,金胃泰胶囊
司百得,精氨洛芬颗粒
思瑞雪,精氨酸谷氨酸注射液（玻瓶//非PVC软袋）
诺和灵N,精蛋白生物合成人胰岛素注射液
诺和灵30R,精蛋白生物合成人胰岛素注射液(预混30R)
诺和灵50R,精蛋白生物合成人胰岛素注射液（预混50R）
优泌乐25,精蛋白锌重组赖脯胰岛素混合注射液（25R）
优泌乐50,精蛋白锌重组赖脯胰岛素混合注射液(50R)
优泌林70/30,精蛋白锌重组人胰岛素混合注射液
优泌林,精蛋白锌重组人胰岛素注射液
优思灵USLIN 30R,精蛋白重组人胰岛素混合注射液(30/70)
万邦林,精蛋白重组人胰岛素混合注射液(30/71)
甘舒霖40R,精蛋白重组人胰岛素混合注射液(40/60)
甘舒霖N,精蛋白重组人胰岛素注射液
重和林 N,精蛋白重组人胰岛素注射液
万邦林,精蛋白重组人胰岛素注射液
苏泌啉恩,精蛋白重组人胰岛素注射液
伽玛莱士,静脉注射用人免疫球蛋白
冻干低pH静脉注射用人血丙种球蛋白,静脉注射用人免疫球蛋白(pH4)(冻干)
博欣(液体),静注人免疫球蛋白(pH4)
蓉生静丙,静注人免疫球蛋白(pH4)
伽玛莱士,静注人免疫球蛋白(pH4)
诺扬,酒石酸布托啡诺鼻喷剂
诺扬,酒石酸布托啡诺注射液
畅沛,酒石酸伐尼克兰片
安瑞宁,酒石酸罗格列酮分散片
倍他乐克,酒石酸美托洛尔片
西盖克,酒石酸双氢可待因片
海正内青,酒石酸托特罗定片
舍尼亭,酒石酸托特罗定片
贝可,酒石酸托特罗定片
宁通,酒石酸托特罗定片
布迈定,酒石酸托特罗定片
得妥,酒石酸西尼必利片
宁通,酒石酸西尼必利片
洁力达,酒石酸溴莫尼定滴眼液
沐欣,酒石酸溴莫尼定滴眼液
阿法根,酒石酸溴莫尼定滴眼液
沐利汀,酒石酸溴莫尼定滴眼液
盖诺,酒石酸长春瑞滨软胶囊
民诺宾,酒石酸长春瑞滨注射液
盖诺,酒石酸长春瑞滨注射液
复昔,酒石酸长春瑞滨注射液
欣瑞金,酒石酸长春瑞滨注射液
乐坦,酒石酸唑吡坦片
君乐宁,酒石酸唑吡坦片
思诺思,酒石酸唑吡坦片
诺宾,酒石酸唑吡坦片
安束喜,聚多卡醇注射液（0.5%）
安束喜,聚多卡醇注射液（1%）
安束喜,聚多卡醇注射液（3%）
爱宝疗,聚甲酚磺醛溶液
益宝疗,聚甲酚磺醛溶液
素平,聚甲酚磺醛溶液
克君清,聚甲酚磺醛栓
爱宝疗,聚甲酚磺醛阴道栓
安阁,聚甲酚磺醛阴道栓
迷清宝,聚甲酚磺醛阴道栓
素平,聚甲酚磺醛阴道栓
怡速净,聚维酮碘含漱液
黛卫,聚维酮碘凝胶
艾利克,聚维酮碘溶液
可立洁,聚维酮碘溶液
丽洁,聚维酮碘溶液
丽泽,聚维酮碘溶液
利泰,聚维酮碘栓
倍洁宁,聚维酮碘栓
刘太,聚维酮碘栓
艾妮亚,聚维酮碘药膜
艾迪尔,聚维酮碘阴道泡腾片
润可隆,聚乙二醇4000散
福松,聚乙二醇4000散
长松,聚乙二醇4000散
优赛乐,聚乙二醇4001散
思然,聚乙二醇滴眼液
舒泰清,聚乙二醇电解质散剂
派罗欣,聚乙二醇干扰素α-2a注射液
佩乐能,聚乙二醇干扰素α-2b注射剂
津优力,聚乙二醇化重组人粒细胞刺激因子注射液
新瑞白,聚乙二醇化重组人粒细胞刺激因子注射液
金赛增,聚乙二醇重组人生长激素注射液
瑞珠,聚乙烯醇滴眼液
菲斯特,咖酚伪麻片
卡米可林,卡巴胆碱注射液
安络血,卡巴克洛片
安络血,卡巴克洛注射液
巧特欣,卡贝缩宫素注射液
西莱美,卡比多巴/左旋多巴片
唯地息,卡波姆滴眼液
达力士,卡泊三醇搽剂
达力士,卡泊三醇软膏
达力士,卡泊三醇乳膏
伯尔定,卡铂注射液
波贝,卡铂注射液
迪苏,卡介菌多糖核酸注射液
凯杰舒,卡介菌多糖核酸注射液
斯奇康,卡介菌多糖核酸注射液
卡舒宁,卡介菌多糖核酸注射液
亚泰康达先,卡介菌多糖核酸注射液
太司能,卡络磺钠注射液
迪卡咛,卡络磺钠注射液
乐卡宁,卡络磺钠注射液
苏孛特,卡络磺钠注射液
雪益亭,卡络磺钠注射液
粒珍,卡马西平缓释胶囊
得理多,卡马西平片
孚贝,卡莫氟片
嘧福禄,卡莫氟片
希罗达,卡培他滨片
卡孕,卡前列甲酯栓
欣母沛,卡前列素氨丁三醇注射液
安列克,卡前列素氨丁三醇注射液
开博通,卡托普利片
金石普利,卡托普利片
开富林,卡托普利注射液
凯络,卡维地洛胶囊
妥尔,卡维地洛片
金络,卡维地洛片
达利全,卡维地洛片
络德,卡维地洛片
枢衡,卡维地洛片
息宁,卡左双多巴控释片
必洛斯,坎地沙坦西酯片
奥必欣,坎地沙坦酯分散片
伲利安,坎地沙坦酯胶囊
悉君宁,坎地沙坦酯片
迪之雅,坎地沙坦酯片
搏力高,坎地沙坦酯片
维尔亚,坎地沙坦酯片
必洛斯,坎地沙坦酯片
达迈,坎地沙坦酯片
朗沐,康柏西普眼用注射液
天舒欣,康复新液
内舒拿,糠酸莫米松鼻喷雾剂
艾洛松,糠酸莫米松乳膏
芙美松,糠酸莫米松乳膏
摩弥齐,糠酸莫米松乳膏
赛尼哌,抗Tac单抗注射液
百利金甘泰,抗乙肝转移因子口服液
消胆胺,考来烯胺散
西可奇,可待因桔梗片
锋锐,克拉霉素分散片
泰菲,克拉霉素分散片
臻克,克拉霉素分散片
君然,克拉霉素分散片
诺沙,克拉霉素分散片
怡川,克拉霉素分散片
冰克,克拉霉素分散片
克尼邦,克拉霉素分散片
卡碧士,克拉霉素分散片
长迪,克拉霉素分散片
卡迈,克拉霉素干混悬剂
泰必捷,克拉霉素干混悬剂
康婷,克拉霉素缓释胶囊
诺邦,克拉霉素缓释片
莫欣,克拉霉素缓释片
森克,克拉霉素缓释片
奥尼亚,克拉霉素缓释片
克拉仙,克拉霉素缓释片
双川,克拉霉素胶囊
裕君先,克拉霉素胶囊
百红优,克拉霉素胶囊
桑美,克拉霉素胶囊
莫欣,克拉霉素胶囊
卡太卡,克拉霉素胶囊
福可星,克拉霉素胶囊
利迈先,克拉霉素胶囊
速瑞,克拉霉素胶囊
卡瑞斯,克拉霉素胶囊
宜仁,克拉霉素胶囊
美博,克拉霉素胶囊
阿维克,克拉霉素胶囊
劲克,克拉霉素胶囊
保诺,克拉霉素胶囊
桂龙诺克,克拉霉素胶囊
甲吉宁,克拉霉素胶囊
佳诺奇,克拉霉素胶囊
康卡,克拉霉素胶囊
柯力仙,克拉霉素胶囊
可枚辛,克拉霉素胶囊
奈尔,克拉霉素胶囊
绿舒,克拉霉素胶囊
普迈,克拉霉素胶囊
赛红,克拉霉素胶囊
沙迪,克拉霉素胶囊
圣诺得,克拉霉素胶囊
泰每拉,克拉霉素胶囊
维朋,克拉霉素胶囊
沃卡,克拉霉素胶囊
怡弘,克拉霉素胶囊
路仙同,克拉霉素颗粒
开迈,克拉霉素颗粒
艾尔贝,克拉霉素颗粒
金阳博泰,克拉霉素颗粒
安吉尔舒,克拉霉素颗粒
昂克,克拉霉素颗粒
百红优,克拉霉素颗粒
福可星,克拉霉素颗粒
克尼邦,克拉霉素颗粒
奈尔,克拉霉素颗粒
匹刻,克拉霉素颗粒
申迈奇,克拉霉素颗粒
圣诺得,克拉霉素颗粒
欣普,克拉霉素颗粒剂
奥妥,克拉霉素片
克拉仙,克拉霉素片
甲力,克拉霉素片
诺邦,克拉霉素片
卡斯迈欣,克拉霉素片
阿瑞,克拉霉素片
安吉尔宁,克拉霉素片
百红优,克拉霉素片
科曼欣,克拉霉素片
利迈先,克拉霉素片
善力杰,克拉霉素片
冰克,克拉霉索分散片
艾博定,克拉屈滨注射液
林荣,克林霉素磷酸酯氯化钠注射液
华舒,克林霉素磷酸酯氯化钠注射液
先清,克林霉素磷酸酯氯化钠注射液
达林,克林霉素磷酸酯凝胶
轰克,克林霉素磷酸酯凝胶
容大,克林霉素磷酸酯片
恪然福,克林霉素磷酸酯片
力深,克林霉素磷酸酯葡萄糖注射液
普耐同,克林霉素磷酸酯葡萄糖注射液
隆格新,克林霉素磷酸酯葡萄糖注射液
索宁,克林霉素磷酸酯葡萄糖注射液
汤尼威,克林霉素磷酸酯葡萄糖注射液
孚帮,克林霉素磷酸酯葡萄糖注射液
佳福恒,克林霉素磷酸酯葡萄糖注射液
景丹,克林霉素磷酸酯葡萄糖注射液
奇尔速,克林霉素磷酸酯葡萄糖注射液
天方力泰,克林霉素磷酸酯葡萄糖注射液
达芬蓉,克林霉素磷酸酯溶液
舍欣,克林霉素磷酸酯阴道片
力派,克林霉素磷酸酯注射液
特丽仙,克林霉素磷酸酯注射液
丁林美,克林霉素磷酸酯注射液
克林美,克林霉素磷酸酯注射液
奥瑞达,克林霉素磷酸酯注射液
欣复能,克林霉素磷酸酯注射液
天方力泰,克林霉素磷酸酯注射液
正大素克,克洛己新干混悬剂
正大素克,克洛己新片
荷洛松,克霉唑倍他米松乳膏
友南,克霉唑栓
诺亚涂膜,克霉唑涂膜
正美汀,克霉唑阴道片
凯妮汀,克霉唑阴道片
赛可瑞,克唑替尼胶囊
博叶,口服补液盐Ⅲ
奥尔舒,口服补液盐II
延力,口服补液盐溶液
乐腹康,口服蜡样芽孢杆菌活菌制剂
米雅,口服酪酸梭菌活菌片
常立宁,口服酪酸梭菌活菌片
米雅,口服酪酸梭菌活菌散剂
宝乐安,口服酪酸梭菌活菌散剂
米雅,口服酪酸梭菌活菌细粒
常乐康,口服酪酸梭菌双歧杆菌二联活菌散
适怡,口服酪酸梭菌糖化菌肠球菌活菌制剂(片剂)
罗特威,口服轮状病毒活疫苗
乐托尔,口服乳杆菌LB胶囊
乐托尔,口服乳杆菌LB散
普复舒,口服山梨醇
丽珠肠乐,口服双歧杆菌活菌散剂
美常安,枯草杆菌二联活菌肠溶胶囊
妈咪爱,枯草杆菌二联活菌颗粒
信罗,苦参碱葡萄糖注射液
目源,苦参碱葡萄糖注射液
天晴顺欣,苦参碱葡萄糖注射液
长富升星,苦参碱葡萄糖注射液
和来亿,苦参碱葡萄糖注射液
华阳利清,苦参碱葡萄糖注射液
济丰,苦参碱葡萄糖注射液
凯得隆,苦参碱葡萄糖注射液
立甘,苦参碱葡萄糖注射液
林希,苦参碱葡萄糖注射液
迈甘希,苦参碱葡萄糖注射液
美愈宁,苦参碱葡萄糖注射液
扑沙通,苦参碱葡萄糖注射液
青典,苦参碱葡萄糖注射液
锐仕,苦参碱葡萄糖注射液
森安,苦参碱葡萄糖注射液
天芬,苦参碱葡萄糖注射液
延仑辛,苦参碱葡萄糖注射液
溢甘林,苦参碱葡萄糖注射液
妇炎栓,苦参碱栓
斯巴特康,苦参碱注射液
枢柔,苦参碱注射液
博尔泰力,苦参素胶囊
天晴复欣,苦参素胶囊
沃森干泰,苦参素软胶囊
奥麦特林,苦参素软胶囊
兴源,苦参素氯化钠注射液
艾林泰,苦参素氯化钠注射液
恒迈,苦参素氯化钠注射液
酝生,苦参素氯化钠注射液
迪凌,苦参素氯化钠注射液
中宝叶宁,苦参素氯化钠注射液
博卡莱,苦参素氯化钠注射液
丹盛,苦参素氯化钠注射液
甘新,苦参素氯化钠注射液
甘易,苦参素氯化钠注射液
兰信,苦参素氯化钠注射液
木芙欣,苦参素氯化钠注射液
派蒙,苦参素氯化钠注射液
赛辰,苦参素氯化钠注射液
塞奇松,苦参素氯化钠注射液
索帮,苦参素氯化钠注射液
雅森,苦参素氯化钠注射液
龙鑫甘,苦参素片
兰信,苦参素片
长源甘平,苦参素片
库舒,苦参素片
美地兰,苦参素片
功亮,苦参素葡萄糖注射液
天晴复欣,苦参素葡萄糖注射液
天晴复欣,苦参素注射液
悦安欣,苦碟子注射液
蝶脉灵,苦碟子注射液
泰活欣,坤复康片
诺非,拉呋替丁胶囊
天晴康欣,拉克替醇散
贺普丁,拉米夫定口服溶液
贺甘定,拉米夫定片
健甘灵,拉米夫定片
益平维,拉米夫定片
利必通,拉莫三嗪片
适利达,拉坦前列素滴眼液
适利加,拉坦噻吗滴眼液
艾生特,拉替拉韦钾片
司乐平,拉西地平片
乐息平,拉西地平片
切乐平,拉西地平片
源首,蜡样芽孢杆菌活菌胶囊
劲朗,辣椒碱乳膏
劲朗,辣椒碱软膏
爱若华,来氟米特片
妥抒,来氟米特片
关平,来氟米特片
赫派,来氟米特片
优通,来氟米特片
瑞复美,来那度胺胶囊
弗隆,来曲唑片
芙瑞,来曲唑片
来比林,赖氨匹林散
比智高,赖氨酸磷酸氢钙颗粒
益迈欧,赖诺普利胶囊
帝益洛,赖诺普利胶囊
